  Time                 , V(R1:1)              , V(U2:OUT)            
  3.000005020854e-01  ,5.000000000000e-01  ,4.191432944852e-02  
  3.000007512805e-01  ,5.000000000000e-01  ,1.551628020321e-01  
  3.000011404273e-01  ,5.000000000000e-01  ,4.381125367889e-01  
  3.000017062422e-01  ,5.000000000000e-01  ,9.339419032112e-01  
  3.000024219748e-01  ,5.000000000000e-01  ,1.507762779395e+00  
  3.000031729933e-01  ,5.000000000000e-01  ,1.994444075601e+00  
  3.000041754958e-01  ,5.000000000000e-01  ,2.431925849620e+00  
  3.000052838561e-01  ,5.000000000000e-01  ,2.698615446467e+00  
  3.000065898177e-01  ,5.000000000000e-01  ,2.868428225772e+00  
  3.000077477690e-01  ,5.000000000000e-01  ,2.940031519699e+00  
  3.000085385558e-01  ,5.000000000000e-01  ,2.963433076035e+00  
  3.000095050093e-01  ,5.000000000000e-01  ,2.975922362103e+00  
  3.000105117079e-01  ,5.000000000000e-01  ,2.983195277101e+00  
  3.000116519209e-01  ,5.000000000000e-01  ,2.987547025784e+00  
  3.000139323470e-01  ,5.000000000000e-01  ,2.990850291112e+00  
  3.000167914626e-01  ,5.000000000000e-01  ,2.991163501013e+00  
  3.000214263198e-01  ,5.000000000000e-01  ,2.990264274571e+00  
  3.000276229140e-01  ,5.000000000000e-01  ,2.988868464385e+00  
  3.000400161025e-01  ,5.000000000000e-01  ,2.986124894378e+00  
  3.000648024794e-01  ,5.000000000000e-01  ,2.980630924688e+00  
  3.001143752333e-01  ,5.000000000000e-01  ,2.969695696687e+00  
  3.002135207411e-01  ,5.000000000000e-01  ,2.947979384872e+00  
  3.004118117568e-01  ,5.000000000000e-01  ,2.905202409363e+00  
  3.008083937880e-01  ,5.000000000000e-01  ,2.822156293667e+00  
  3.016015578505e-01  ,5.000000000000e-01  ,2.665703908160e+00  
  3.031878859755e-01  ,5.000000000000e-01  ,2.387732333628e+00  
  3.063605422255e-01  ,5.000000000000e-01  ,1.947602917184e+00  
  3.127058547255e-01  ,5.000000000000e-01  ,1.391108429094e+00  
  3.227136672255e-01  ,5.000000000000e-01  ,9.687788087427e-01  
  3.333464797255e-01  ,5.000000000000e-01  ,8.783127236672e-01  
  3.459667922255e-01  ,5.000000000000e-01  ,8.596699899989e-01  
  3.593949172255e-01  ,5.000000000000e-01  ,8.918639689460e-01  
  3.862511672255e-01  ,5.000000000000e-01  ,9.582712934234e-01  
  4.214886672255e-01  ,5.000000000000e-01  ,1.045888513916e+00  
  4.614886672255e-01  ,5.000000000000e-01  ,1.145271182470e+00  
  5.014886672255e-01  ,5.000000000000e-01  ,1.244674461959e+00  
  5.414886672255e-01  ,5.000000000000e-01  ,1.344070842696e+00  
  5.814886672255e-01  ,5.000000000000e-01  ,1.443469496910e+00  
  6.000000000040e-01  ,4.997999988732e-01  ,1.488692632253e+00  
  6.000000010036e-01  ,4.498200009551e-01  ,1.488692634633e+00  
  6.000000030030e-01  ,3.498518338774e-01  ,1.488692639326e+00  
  6.000000070017e-01  ,1.499155052732e-01  ,1.488692649594e+00  
  6.000000100040e-01  ,0.000000000000e+00  ,1.488692659310e+00  
  6.000000108037e-01  ,0.000000000000e+00  ,1.488692662754e+00  
  6.000000124032e-01  ,0.000000000000e+00  ,1.488692670983e+00  
  6.000000156021e-01  ,0.000000000000e+00  ,1.488692696195e+00  
  6.000000219999e-01  ,0.000000000000e+00  ,1.488692813048e+00  
  6.000000347955e-01  ,0.000000000000e+00  ,1.488693528071e+00  
  6.000000603868e-01  ,0.000000000000e+00  ,1.488696045372e+00  
  6.000001115693e-01  ,0.000000000000e+00  ,1.488628916832e+00  
  6.000001981153e-01  ,0.000000000000e+00  ,1.487321472842e+00  
  6.000003414287e-01  ,0.000000000000e+00  ,1.475610564562e+00  
  6.000006280555e-01  ,0.000000000000e+00  ,1.389313879219e+00  
  6.000009054317e-01  ,0.000000000000e+00  ,1.222180295386e+00  
  6.000013668670e-01  ,0.000000000000e+00  ,8.420870346512e-01  
  6.000021055831e-01  ,0.000000000000e+00  ,2.042877839840e-01  
  6.000027954711e-01  ,0.000000000000e+00  ,-2.950772780268e-01  
  6.000036247863e-01  ,0.000000000000e+00  ,-7.312464018298e-01  
  6.000049133910e-01  ,0.000000000000e+00  ,-1.137428448121e+00  
  6.000064175261e-01  ,0.000000000000e+00  ,-1.377821429563e+00  
  6.000075804366e-01  ,0.000000000000e+00  ,-1.458494080029e+00  
  6.000083518638e-01  ,0.000000000000e+00  ,-1.482416622005e+00  
  6.000093448295e-01  ,0.000000000000e+00  ,-1.494340464469e+00  
